seg_key,system,stress_slice,flag_type,suggested_taxonomy,mqm,category,severity,bleu,chrf,comet,source,mt,reference
mastodon_Gwendolyn.110349819552196992:en-de::27,NLLB_MBR_BLEU,False,high_comet_bad_mqm,paraphrase handling issues,32.400000000000006,Terminology/Inappropriate for context,Major,37.73071647938707,71.94974123332632,0.8643665909767151,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.","Je mehr ich über Studien über Sex, Geschlecht, Psychologie lese, desto mehr erscheint mir die Aussage ""Mein Geschlecht ist männlich, mein Geschlecht ist weiblich"" vereinfacht und ungenau. Es scheint fast, als würde man dem TERF einen Teil des Arguments abgeben. Ich habe das Gefühl, trans zu sein bedeutet ""biologisch nicht-binär"" zu sein. Mein Geschlecht ist nicht-binär, mein Geschlecht ist weiblich.","Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich."
mastodon_Gwendolyn.110349819552196992:en-de::27,ONLINE-M,False,high_comet_bad_mqm,paraphrase handling issues,21.0,Terminology/Inappropriate for context,Major,55.27647138743803,77.5657153611941,0.8760579824447632,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.","Je mehr ich über Studien zu Sex, Gender und Psychologie lese, desto vereinfachter und ungenauer erscheint die Aussage „Mein Geschlecht ist männlich, mein Geschlecht ist weiblich“. Es scheint fast so, als würde man einen Teil der Argumentation den TERFs übergeben. Ich denke, Trans zu sein bedeutet, „biologisch nicht-binär“ zu sein. Mein Geschlecht ist nicht-binär, mein Geschlecht ist weiblich.","Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich."
mastodon_JKBarts.110350501937576000:en-de::35,refA,False,high_comet_bad_mqm,paraphrase handling issues,17.0,Found,HOTW-test,100.00000000000004,100.0,0.9113250970840454,"So like from the beginning for all my birthdays in the past, I always had rough ones. Whenever May would pop up I dreaded trying to celebrate my bday. Something would always happen, go wrong, or just end up stressful and depressing. I fought over the years to get out of that mindset and to have better bdays. It took years of changing my life and working hard but finally... I'm starting to smile and enjoy my bday with no worries. And today is already becoming a great day!","Also, wie bei allen meinen Geburtstagen in der Vergangenheit, war es immer schwierig für mich. Immer, wenn es Mai wurde, fürchtete ich mich vor dem Versuch, meinen Geburtstag zu feiern. Etwas sollte immer passieren, schiefgehen oder einfach nur stressig und deprimierend enden. Ich habe über die Jahre gekämpft, um aus dieser Denkweise herauszukommen und schönere Geburtstage zu feiern. Ich musste jahrelang mein Leben ändern und hart arbeiten, aber schließlich … fange ich an zu lächeln und meinen Geburtstag ohne Sorgen zu genießen. Und heute ist schon jetzt ein toller Tag!","Also, wie bei allen meinen Geburtstagen in der Vergangenheit, war es immer schwierig für mich. Immer, wenn es Mai wurde, fürchtete ich mich vor dem Versuch, meinen Geburtstag zu feiern. Etwas sollte immer passieren, schiefgehen oder einfach nur stressig und deprimierend enden. Ich habe über die Jahre gekämpft, um aus dieser Denkweise herauszukommen und schönere Geburtstage zu feiern. Ich musste jahrelang mein Leben ändern und hart arbeiten, aber schließlich … fange ich an zu lächeln und meinen Geburtstag ohne Sorgen zu genießen. Und heute ist schon jetzt ein toller Tag!"
mastodon_JKBarts.110350501937576000:en-de::35,ONLINE-B,False,high_comet_bad_mqm,entity substitution/omission,16.0,Accuracy/Mistranslation,Major,40.7837195533874,72.85963874384065,0.8632147312164307,"So like from the beginning for all my birthdays in the past, I always had rough ones. Whenever May would pop up I dreaded trying to celebrate my bday. Something would always happen, go wrong, or just end up stressful and depressing. I fought over the years to get out of that mindset and to have better bdays. It took years of changing my life and working hard but finally... I'm starting to smile and enjoy my bday with no worries. And today is already becoming a great day!","So wie bei all meinen Geburtstagen in der Vergangenheit hatte ich von Anfang an immer schwierige Geburtstage. Wann immer der Mai auftauchte, fürchtete ich mich vor dem Versuch, meinen Geburtstag zu feiern. Es würde immer etwas passieren, schief gehen oder einfach stressig und deprimierend enden. Ich habe jahrelang darum gekämpft, aus dieser Denkweise herauszukommen und bessere Tage zu haben. Es hat Jahre gedauert, mein Leben zu verändern und hart zu arbeiten, aber endlich ... fange ich an zu lächeln und meinen Tag ohne Sorgen zu genießen. Und heute wird schon ein toller Tag!","Also, wie bei allen meinen Geburtstagen in der Vergangenheit, war es immer schwierig für mich. Immer, wenn es Mai wurde, fürchtete ich mich vor dem Versuch, meinen Geburtstag zu feiern. Etwas sollte immer passieren, schiefgehen oder einfach nur stressig und deprimierend enden. Ich habe über die Jahre gekämpft, um aus dieser Denkweise herauszukommen und schönere Geburtstage zu feiern. Ich musste jahrelang mein Leben ändern und hart arbeiten, aber schließlich … fange ich an zu lächeln und meinen Geburtstag ohne Sorgen zu genießen. Und heute ist schon jetzt ein toller Tag!"
mastodon_EscapeFlightsSEA.110348403779800992:en-de::21,ONLINE-B,False,high_comet_bad_mqm,entity substitution/omission,15.0,Accuracy/Mistranslation,Major,38.30584163959803,71.77130313926374,0.8656874299049377,"- We send out notifications when airfare goes on sale. - We provide links to where you can book the fare. - We don't sell tickets, or charge a subscription. - More details are in the full blog post. - We maintain a list of example booking dates for each deal we post and we update that list several times a day.","- Wir versenden Benachrichtigungen, wenn Flugpreise zum Verkauf angeboten werden. - Wir stellen Links bereit, wo Sie den Fahrpreis buchen können. - Wir verkaufen keine Tickets und verlangen kein Abonnement. - Weitere Details finden Sie im vollständigen Blogbeitrag. - Wir führen für jedes von uns veröffentlichte Angebot eine Liste mit Beispielbuchungsterminen und aktualisieren diese Liste mehrmals täglich.","- Wir senden Benachrichtigungen, wenn Flugtickets verkauft werden. - Wir stellen Links zur Verfügung, wo Sie den Preis buchen können. - Wir verkaufen keine Tickets und berechnen auch kein Abonnement. - Weitere Informationen finden Sie in dem vollständigen Blogbeitrag. - Wir pflegen eine Liste mit Beispielbuchungsdaten für jedes Angebot, das wir veröffentlichen, und wir aktualisieren diese Liste mehrere Male am Tag."
mastodon_ArtSmart.110348644741746000:en-de::9,ONLINE-B,True,high_comet_bad_mqm,entity substitution/omission,12.0,Accuracy/Mistranslation,Major,38.59650663855325,68.87690010361209,0.8699662089347839,"Nothing stops Donald Trump from running for president while under indictment, after being convicted, or even from within a prison cell. If elected, he would undoubtedly pardon himself to get out of prison.","Nichts hält Donald Trump davon ab, für das Präsidentenamt zu kandidieren, während er unter Anklage steht, nach einer Verurteilung oder sogar aus einer Gefängniszelle heraus. Im Falle seiner Wahl würde er sich zweifellos selbst begnadigen, wenn er aus dem Gefängnis entlassen würde.","Nichts hält Donald Trump davon ab, als Präsident zu kandidieren, während er angeklagt ist, nachdem er verurteilt wurde oder sogar aus einer Gefängniszelle heraus. Wenn er gewählt werden würde, würde er sich zweifelsohne selbst begnadigen, um raus aus dem Gefängnis zu kommen."
mastodon_MLClark.110350771110364992:en-de::44,refA,False,high_comet_bad_mqm,entity substitution/omission,10.2,Accuracy/Mistranslation,Major,100.00000000000004,100.0,0.9509230852127076,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"Ich wundere mich oft über die menschliche Fähigkeit, *so* selbstkritisch zu sein, während man mit so vielen Belegen für echte Grausamkeit überflutet wird.","Ich wundere mich oft über die menschliche Fähigkeit, *so* selbstkritisch zu sein, während man mit so vielen Belegen für echte Grausamkeit überflutet wird."
mastodon_PlayHistory.110351249206604000:en-de::53,ONLINE-Y,True,high_comet_bad_mqm,entity substitution/omission,10.0,Accuracy/Mistranslation,Major,71.38957847176475,89.04509058157429,0.9445586204528807,So was it Epic that originated this? We can keep going.,"War es also Epic, der das hervorgebracht hat? Wir können weitermachen.","War es also Epic, das dies hervorgebracht hat? Wir können weitermachen."
mastodon_PlayHistory.110351249206604000:en-de::53,ZengHuiMT,True,high_comet_bad_mqm,entity substitution/omission,10.0,Accuracy/Mistranslation,Major,39.37555310551341,61.58366473404861,0.8872243165969849,So was it Epic that originated this? We can keep going.,"Es war also Epic, das dies ins Leben gerufen hat. Wir können weitermachen.","War es also Epic, das dies hervorgebracht hat? Wir können weitermachen."
mastodon_EscapeFlightsSEA.110348403779800992:en-de::21,ONLINE-A,False,high_comet_bad_mqm,entity substitution/omission,10.0,Accuracy/Mistranslation,Major,58.81547934329364,79.91785996592988,0.8869738578796387,"- We send out notifications when airfare goes on sale. - We provide links to where you can book the fare. - We don't sell tickets, or charge a subscription. - More details are in the full blog post. - We maintain a list of example booking dates for each deal we post and we update that list several times a day.","- Wir versenden Benachrichtigungen, wenn der Flugpreis in den Verkauf geht. - Wir stellen Links zur Verfügung, wo Sie den Tarif buchen können. - Wir verkaufen keine Tickets und berechnen kein Abonnement. - Weitere Details finden Sie im vollständigen Blogbeitrag. - Wir führen eine Liste mit Beispielbuchungsdaten für jedes Angebot, das wir veröffentlichen, und aktualisieren diese Liste mehrmals täglich.","- Wir senden Benachrichtigungen, wenn Flugtickets verkauft werden. - Wir stellen Links zur Verfügung, wo Sie den Preis buchen können. - Wir verkaufen keine Tickets und berechnen auch kein Abonnement. - Weitere Informationen finden Sie in dem vollständigen Blogbeitrag. - Wir pflegen eine Liste mit Beispielbuchungsdaten für jedes Angebot, das wir veröffentlichen, und wir aktualisieren diese Liste mehrere Male am Tag."
