system,Accuracy/Addition,Accuracy/Creative Reinterpretation,Accuracy/Mistranslation,Accuracy/Omission,Accuracy/Source language fragment,Fluency/Grammar,Fluency/Inconsistency,Fluency/Punctuation,Fluency/Register,Fluency/Spelling,Found,Locale convention/Currency format,Missed,No-error,Other,Source issue,Style/Bad sentence structure,Style/Unnatural or awkward,Terminology/Inappropriate for context,Terminology/Inconsistent,nan
AIRC,5,2,132,26,12,24,0,31,0,5,6,0,0,6,0,4,1,34,6,0,0
GPT4-5shot,1,2,41,1,2,21,0,30,1,7,8,0,0,17,1,7,2,32,2,0,0
Lan-BridgeMT,1,11,95,3,7,32,2,32,0,10,9,1,0,12,2,5,1,33,8,0,0
NLLB_Greedy,1,4,89,22,3,22,0,31,0,7,10,0,0,11,2,4,1,28,6,0,0
NLLB_MBR_BLEU,2,6,96,19,7,24,0,33,1,5,7,0,0,13,2,1,4,31,9,0,0
ONLINE-A,0,3,59,1,5,8,1,31,0,7,5,0,0,26,0,2,3,20,7,0,0
ONLINE-B,2,2,47,1,2,15,0,7,1,1,7,0,0,27,0,0,2,20,6,0,0
ONLINE-G,3,6,86,1,4,24,4,37,2,3,3,0,0,16,0,2,1,25,5,0,0
ONLINE-M,1,6,68,6,7,12,0,8,0,5,6,1,1,20,1,5,3,23,7,1,0
ONLINE-W,0,4,32,2,1,6,2,36,1,3,6,0,0,23,3,8,0,23,9,0,0
ONLINE-Y,1,7,67,2,16,14,3,10,1,6,10,1,1,18,1,5,1,28,9,0,0
ZengHuiMT,19,4,84,1,4,16,0,24,5,10,7,0,1,12,7,7,5,24,6,0,5
refA,2,5,25,0,3,9,0,7,3,5,8,0,0,31,1,6,0,23,1,0,0
